,polrty_1A,secstr_1B,molsz_1C,elechrg_1E,polrty_2A,secstr_2B,molsz_2C,elechrg_2E,polrty_3A,secstr_3B,molsz_3C,elechrg_3E,polrty_4A,secstr_4B,molsz_4C,elechrg_4E,polrty_5A,secstr_5B,molsz_5C,elechrg_5E,polrty_6A,secstr_6B,molsz_6C,elechrg_6E,polrty_7A,secstr_7B,molsz_7C,elechrg_7E,polrty_8A,secstr_8B,molsz_8C,elechrg_8E,polrty_9A,secstr_9B,molsz_9C,elechrg_9E,polrty_10A,secstr_10B,molsz_10C,elechrg_10E,polrty_11A,secstr_11B,molsz_11C,elechrg_11E,polrty_12A,secstr_12B,molsz_12C,elechrg_12E,polrty_13A,secstr_13B,molsz_13C,elechrg_13E,polrty_14A,secstr_14B,molsz_14C,elechrg_14E,polrty_15A,secstr_15B,molsz_15C,elechrg_15E,polrty_16A,secstr_16B,molsz_16C,elechrg_16E,polrty_17A,secstr_17B,molsz_17C,elechrg_17E,polrty_18A,secstr_18B,molsz_18C,elechrg_18E,polrty_19A,secstr_19B,molsz_19C,elechrg_19E,polrty_20A,secstr_20B,molsz_20C,elechrg_20E,polrty_21A,secstr_21B,molsz_21C,elechrg_21E,polrty_22A,secstr_22B,molsz_22C,elechrg_22E,polrty_23A,secstr_23B,molsz_23C,elechrg_23E,polrty_24A,secstr_24B,molsz_24C,elechrg_24E,polrty_25A,secstr_25B,molsz_25C,elechrg_25E,polrty_26A,secstr_26B,molsz_26C,elechrg_26E,polrty_27A,secstr_27B,molsz_27C,elechrg_27E,polrty_28A,secstr_28B,molsz_28C,elechrg_28E,polrty_29A,secstr_29B,molsz_29C,elechrg_29E,polrty_30A,secstr_30B,molsz_30C,elechrg_30E,polrty_31A,secstr_31B,molsz_31C,elechrg_31E,polrty_32A,secstr_32B,molsz_32C,elechrg_32E,polrty_33A,secstr_33B,molsz_33C,elechrg_33E,polrty_34A,secstr_34B,molsz_34C,elechrg_34E
BGC0001440_cystargolide_ARO49564_1_unknown_HOLDOUTTEST,1.357,-1.453,1.477,-0.837,-0.595,0.009,0.672,-0.184,0,0,0,0,0.336,-0.417,-1.673,-0.078,-1.337,-0.279,-0.544,-1.262,-0.591,-1.302,-0.733,-0.146,0.336,-0.417,-1.673,-0.078,-0.591,-1.302,-0.733,-0.146,1.05,0.302,-3.656,-3.242,-1.019,-0.987,-1.505,-0.912,0.336,-0.417,-1.673,-0.078,-0.591,-1.302,-0.733,-0.146,-0.228,1.399,-4.76,-2.647,-0.591,-1.302,-0.733,-0.146,-1.019,-0.987,-1.505,-0.912,-1.343,0.465,-0.862,-0.255,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,1.538,-0.055,1.502,2.897,0.931,-0.179,-3.005,-1.853,-1.239,-0.547,2.131,0.816,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-0.228,1.399,-4.76,-2.647,-0.032,0.326,2.213,1.313,1.357,-1.453,1.477,-0.837,-1.006,-0.59,1.891,0.412,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-0.591,-1.302,-0.733,-0.146,-0.663,-1.524,2.219,1.212,-0.384,1.652,1.33,2.064,0.945,0.828,1.299,0.933
BGC0000336_daptomycin_AAX31555_1_longchain_HOLDOUTTEST,0.945,0.828,1.299,0.933,0.945,0.828,1.299,0.933,-1.019,-0.987,-1.505,-0.912,-1.019,-0.987,-1.505,-0.912,0.336,-0.417,-1.673,-0.078,1.05,0.302,-3.656,-3.242,-0.663,-1.524,2.219,1.212,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-0.384,1.652,1.33,2.064,-0.032,0.326,2.213,1.313,0.189,2.081,-1.628,-1.392,-0.228,1.399,-4.76,-2.647,-0.591,-1.302,-0.733,-0.146,-0.595,0.009,0.672,-0.184,-0.591,-1.302,-0.733,-0.146,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,1.357,-1.453,1.477,-0.837,-0.032,0.326,2.213,1.313,-0.591,-1.302,-0.733,-0.146,-0.384,1.652,1.33,2.064,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-0.591,-1.302,-0.733,-0.146,1.357,-1.453,1.477,-0.837,-0.591,-1.302,-0.733,-0.146,-0.032,0.326,2.213,1.313,-1.019,-0.987,-1.505,-0.912,-1.006,-0.59,1.891,0.412,-1.337,-0.279,-0.544,-1.262,-0.228,1.399,-4.76,-2.647,1.538,-0.055,1.502,2.897
BGC0001574_diisonitrile_ATY72527_1_other_OTHER,-1.239,-0.547,2.131,0.816,-0.591,-1.302,-0.733,-0.146,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-1.006,-0.59,1.891,0.412,0.336,-0.417,-1.673,-0.078,-1.337,-0.279,-0.544,-1.262,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-0.595,0.009,0.672,-0.184,-0.595,0.009,0.672,-0.184,0.931,-0.179,-3.005,-1.853,-1.343,0.465,-0.862,-0.255,-1.337,-0.279,-0.544,-1.262,-1.337,-0.279,-0.544,-1.262,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.228,1.399,-4.76,-2.647,-0.591,-1.302,-0.733,-0.146,0.931,-0.179,-3.005,-1.853,-1.239,-0.547,2.131,0.816,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-0.032,0.326,2.213,1.313,1.357,-1.453,1.477,-0.837,-0.032,0.326,2.213,1.313,-0.384,1.652,1.33,2.064,0.945,0.828,1.299,0.933,-0.032,0.326,2.213,1.313,-0.591,-1.302,-0.733,-0.146,-1.343,0.465,-0.862,-0.255,-1.343,0.465,-0.862,-0.255
BGC0001137_marinacarboline_AGL76720_1_aryl_ARYL,-1.343,0.465,-0.862,-0.255,-0.591,-1.302,-0.733,-0.146,-0.591,-1.302,-0.733,-0.146,-1.239,-0.547,2.131,0.816,0,0,0,0,1.05,0.302,-3.656,-3.242,-1.019,-0.987,-1.505,-0.912,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,1.357,-1.453,1.477,-0.837,-1.019,-0.987,-1.505,-0.912,-1.343,0.465,-0.862,-0.255,-1.006,-0.59,1.891,0.412,-1.019,-0.987,-1.505,-0.912,-1.337,-0.279,-0.544,-1.262,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,-0.663,-1.524,2.219,1.212,0.931,-0.179,-3.005,-1.853,0.945,0.828,1.299,0.933,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-0.032,0.326,2.213,1.313,0.931,-0.179,-3.005,-1.853,1.357,-1.453,1.477,-0.837,-0.591,-1.302,-0.733,-0.146,-0.591,-1.302,-0.733,-0.146,-1.006,-0.59,1.891,0.412,-1.239,-0.547,2.131,0.816,-0.591,-1.302,-0.733,-0.146,-0.591,-1.302,-0.733,-0.146,-1.019,-0.987,-1.505,-0.912
BGC0001205_communesin_KGO40476_1_mediumchain_MACS,0.945,0.828,1.299,0.933,-1.006,-0.59,1.891,0.412,-1.006,-0.59,1.891,0.412,-1.019,-0.987,-1.505,-0.912,0.336,-0.417,-1.673,-0.078,-0.228,1.399,-4.76,-2.647,-1.006,-0.59,1.891,0.412,-0.384,1.652,1.33,2.064,-1.337,-0.279,-0.544,-1.262,-0.228,1.399,-4.76,-2.647,-0.591,-1.302,-0.733,-0.146,-1.343,0.465,-0.862,-0.255,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-1.239,-0.547,2.131,0.816,-0.591,-1.302,-0.733,-0.146,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,-1.019,-0.987,-1.505,-0.912,0.945,0.828,1.299,0.933,-0.384,1.652,1.33,2.064,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-0.663,-1.524,2.219,1.212,-0.032,0.326,2.213,1.313,1.357,-1.453,1.477,-0.837,-0.032,0.326,2.213,1.313,-0.228,1.399,-4.76,-2.647,0.189,2.081,-1.628,-1.392,-0.591,-1.302,-0.733,-0.146,-0.032,0.326,2.213,1.313,-1.006,-0.59,1.891,0.412,-1.239,-0.547,2.131,0.816
BGC0001008_maduropeptin_ABY66018_1_aryl_ARYL,0.945,0.828,1.299,0.933,-1.343,0.465,-0.862,-0.255,-0.228,1.399,-4.76,-2.647,-1.019,-0.987,-1.505,-0.912,-1.006,-0.59,1.891,0.412,0.189,2.081,-1.628,-1.392,-1.019,-0.987,-1.505,-0.912,-0.591,-1.302,-0.733,-0.146,-0.228,1.399,-4.76,-2.647,0.189,2.081,-1.628,-1.392,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.228,1.399,-4.76,-2.647,-0.591,-1.302,-0.733,-0.146,0.336,-0.417,-1.673,-0.078,-1.337,-0.279,-0.544,-1.262,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.228,1.399,-4.76,-2.647,0.931,-0.179,-3.005,-1.853,0.931,-0.179,-3.005,-1.853,-1.337,-0.279,-0.544,-1.262,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-0.663,-1.524,2.219,1.212,-0.591,-1.302,-0.733,-0.146,1.357,-1.453,1.477,-0.837,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-1.239,-0.547,2.131,0.816,-1.343,0.465,-0.862,-0.255,0.26,0.83,3.097,1.512,-0.032,0.326,2.213,1.313,1.538,-0.055,1.502,2.897
BGC0001035_pneumocandin_EPE34349_1_longchain_LACS,0.945,0.828,1.299,0.933,0.931,-0.179,-3.005,-1.853,-0.032,0.326,2.213,1.313,-1.019,-0.987,-1.505,-0.912,0.336,-0.417,-1.673,-0.078,-0.591,-1.302,-0.733,-0.146,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-1.019,-0.987,-1.505,-0.912,-1.337,-0.279,-0.544,-1.262,-1.006,-0.59,1.891,0.412,0.26,0.83,3.097,1.512,-1.019,-0.987,-1.505,-0.912,-1.239,-0.547,2.131,0.816,-0.032,0.326,2.213,1.313,-0.384,1.652,1.33,2.064,-0.228,1.399,-4.76,-2.647,-0.591,-1.302,-0.733,-0.146,0.945,0.828,1.299,0.933,0.189,2.081,-1.628,-1.392,-0.384,1.652,1.33,2.064,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-0.032,0.326,2.213,1.313,1.357,-1.453,1.477,-0.837,-0.228,1.399,-4.76,-2.647,-1.006,-0.59,1.891,0.412,-1.337,-0.279,-0.544,-1.262,-1.343,0.465,-0.862,-0.255,-0.663,-1.524,2.219,1.212,-0.228,1.399,-4.76,-2.647,-0.595,0.009,0.672,-0.184
BGC0000123_phoslactomycin_AAQ84158_1_aryl_ARYL,-0.591,-1.302,-0.733,-0.146,0,0,0,0,-0.663,-1.524,2.219,1.212,-0.228,1.399,-4.76,-2.647,0.336,-0.417,-1.673,-0.078,0.931,-0.179,-3.005,-1.853,-0.032,0.326,2.213,1.313,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,0.931,-0.179,-3.005,-1.853,-0.591,-1.302,-0.733,-0.146,-1.337,-0.279,-0.544,-1.262,-0.591,-1.302,-0.733,-0.146,-0.032,0.326,2.213,1.313,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,-1.343,0.465,-0.862,-0.255,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,-1.006,-0.59,1.891,0.412,-0.384,1.652,1.33,2.064,-0.032,0.326,2.213,1.313,-0.032,0.326,2.213,1.313,1.357,-1.453,1.477,-0.837,-0.032,0.326,2.213,1.313,-1.343,0.465,-0.862,-0.255,-1.019,-0.987,-1.505,-0.912,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,-1.019,-0.987,-1.505,-0.912,-0.228,1.399,-4.76,-2.647
BGC0000024_aureothin_CAE02600_1_aryl_ARYL,0,0,0,0,-0.595,0.009,0.672,-0.184,-1.019,-0.987,-1.505,-0.912,-1.019,-0.987,-1.505,-0.912,-1.006,-0.59,1.891,0.412,0.336,-0.417,-1.673,-0.078,-1.343,0.465,-0.862,-0.255,0.945,0.828,1.299,0.933,-0.384,1.652,1.33,2.064,-0.595,0.009,0.672,-0.184,-0.384,1.652,1.33,2.064,-1.006,-0.59,1.891,0.412,-1.006,-0.59,1.891,0.412,-0.384,1.652,1.33,2.064,-1.337,-0.279,-0.544,-1.262,-1.343,0.465,-0.862,-0.255,-0.591,-1.302,-0.733,-0.146,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,-1.019,-0.987,-1.505,-0.912,0.931,-0.179,-3.005,-1.853,-1.337,-0.279,-0.544,-1.262,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-0.032,0.326,2.213,1.313,1.357,-1.453,1.477,-0.837,-0.032,0.326,2.213,1.313,-0.032,0.326,2.213,1.313,-1.019,-0.987,-1.505,-0.912,-1.019,-0.987,-1.505,-0.912,-0.032,0.326,2.213,1.313,-1.006,-0.59,1.891,0.412,0.945,0.828,1.299,0.933
BGC0000309_bacillibactin_CAB15188_1_aryl_ARYL,-0.228,1.399,-4.76,-2.647,-1.337,-0.279,-0.544,-1.262,0,0,0,0,-1.019,-0.987,-1.505,-0.912,0.26,0.83,3.097,1.512,0.189,2.081,-1.628,-1.392,-1.019,-0.987,-1.505,-0.912,-0.228,1.399,-4.76,-2.647,-0.228,1.399,-4.76,-2.647,0.189,2.081,-1.628,-1.392,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,-1.019,-0.987,-1.505,-0.912,0.931,-0.179,-3.005,-1.853,-1.337,-0.279,-0.544,-1.262,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,0.931,-0.179,-3.005,-1.853,0.931,-0.179,-3.005,-1.853,-1.337,-0.279,-0.544,-1.262,-1.006,-0.59,1.891,0.412,-0.384,1.652,1.33,2.064,-0.663,-1.524,2.219,1.212,-0.591,-1.302,-0.733,-0.146,1.357,-1.453,1.477,-0.837,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-1.337,-0.279,-0.544,-1.262,0.945,0.828,1.299,0.933,0.26,0.83,3.097,1.512,-0.032,0.326,2.213,1.313,1.538,-0.055,1.502,2.897
BGC0001600_fusarielin_CEF75881_1_shortchain_HOLDOUTTEST,-0.591,-1.302,-0.733,-0.146,1.05,0.302,-3.656,-3.242,-0.228,1.399,-4.76,-2.647,0.336,-0.417,-1.673,-0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.019,-0.987,-1.505,-0.912,-0.384,1.652,1.33,2.064,-1.337,-0.279,-0.544,-1.262,1.538,-0.055,1.502,2.897,-0.032,0.326,2.213,1.313,-0.032,0.326,2.213,1.313,-0.228,1.399,-4.76,-2.647,-1.337,-0.279,-0.544,-1.262,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,1.831,-0.561,0.533,1.648,-0.032,0.326,2.213,1.313,-0.032,0.326,2.213,1.313,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,0.931,-0.179,-3.005,-1.853,-0.228,1.399,-4.76,-2.647,1.357,-1.453,1.477,-0.837,-0.228,1.399,-4.76,-2.647,-0.384,1.652,1.33,2.064,-1.239,-0.547,2.131,0.816,-1.006,-0.59,1.891,0.412,-1.337,-0.279,-0.544,-1.262,-0.591,-1.302,-0.733,-0.146,1.538,-0.055,1.502,2.897
BGC0000141_rubradirin_CAI94706_1_aryl_ARYL,-0.663,-1.524,2.219,1.212,-0.591,-1.302,-0.733,-0.146,-0.228,1.399,-4.76,-2.647,-0.032,0.326,2.213,1.313,-1.239,-0.547,2.131,0.816,0.336,-0.417,-1.673,-0.078,-0.032,0.326,2.213,1.313,1.05,0.302,-3.656,-3.242,-1.337,-0.279,-0.544,-1.262,-1.006,-0.59,1.891,0.412,-0.032,0.326,2.213,1.313,1.05,0.302,-3.656,-3.242,-0.663,-1.524,2.219,1.212,-1.019,-0.987,-1.505,-0.912,0.26,0.83,3.097,1.512,-0.032,0.326,2.213,1.313,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,-1.239,-0.547,2.131,0.816,0.931,-0.179,-3.005,-1.853,-1.337,-0.279,-0.544,-1.262,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-0.032,0.326,2.213,1.313,-0.032,0.326,2.213,1.313,1.357,-1.453,1.477,-0.837,-0.032,0.326,2.213,1.313,-0.384,1.652,1.33,2.064,-1.337,-0.279,-0.544,-1.262,-1.019,-0.987,-1.505,-0.912,-0.032,0.326,2.213,1.313,-0.663,-1.524,2.219,1.212,-1.019,-0.987,-1.505,-0.912
BGC0000368_griseobactin_CBA63660_1_aryl_ARYL,-0.228,1.399,-4.76,-2.647,-0.384,1.652,1.33,2.064,0,0,0,0,-1.019,-0.987,-1.505,-0.912,-1.006,-0.59,1.891,0.412,0.189,2.081,-1.628,-1.392,-1.019,-0.987,-1.505,-0.912,-0.228,1.399,-4.76,-2.647,-0.228,1.399,-4.76,-2.647,0.189,2.081,-1.628,-1.392,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-1.019,-0.987,-1.505,-0.912,-1.337,-0.279,-0.544,-1.262,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,0.931,-0.179,-3.005,-1.853,0.931,-0.179,-3.005,-1.853,-1.337,-0.279,-0.544,-1.262,-1.006,-0.59,1.891,0.412,-0.384,1.652,1.33,2.064,-0.663,-1.524,2.219,1.212,-0.591,-1.302,-0.733,-0.146,1.357,-1.453,1.477,-0.837,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-1.337,-0.279,-0.544,-1.262,0.945,0.828,1.299,0.933,0.26,0.83,3.097,1.512,-0.032,0.326,2.213,1.313,1.538,-0.055,1.502,2.897
BGC0001213_nataxazole_EYT83440_1_aryl_ARYL,-1.019,-0.987,-1.505,-0.912,1.538,-0.055,1.502,2.897,-1.006,-0.59,1.891,0.412,-0.032,0.326,2.213,1.313,-1.019,-0.987,-1.505,-0.912,-1.337,-0.279,-0.544,-1.262,-1.239,-0.547,2.131,0.816,-0.032,0.326,2.213,1.313,0.336,-0.417,-1.673,-0.078,-1.019,-0.987,-1.505,-0.912,-0.591,-1.302,-0.733,-0.146,-0.591,-1.302,-0.733,-0.146,-0.595,0.009,0.672,-0.184,-1.343,0.465,-0.862,-0.255,-1.006,-0.59,1.891,0.412,-0.032,0.326,2.213,1.313,-0.591,-1.302,-0.733,-0.146,-0.591,-1.302,-0.733,-0.146,1.357,-1.453,1.477,-0.837,-1.337,-0.279,-0.544,-1.262,1.357,-1.453,1.477,-0.837,1.357,-1.453,1.477,-0.837,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-0.228,1.399,-4.76,-2.647,-0.032,0.326,2.213,1.313,1.357,-1.453,1.477,-0.837,-0.032,0.326,2.213,1.313,-0.384,1.652,1.33,2.064,-0.032,0.326,2.213,1.313,-1.239,-0.547,2.131,0.816,-0.591,-1.302,-0.733,-0.146,-0.384,1.652,1.33,2.064,0.931,-0.179,-3.005,-1.853
BGC0001213_nataxazole_EYT83445_1_aryl_ARYL,-0.663,-1.524,2.219,1.212,0,0,0,0,1.538,-0.055,1.502,2.897,-1.019,-0.987,-1.505,-0.912,-1.006,-0.59,1.891,0.412,-0.591,-1.302,-0.733,-0.146,-1.006,-0.59,1.891,0.412,-0.384,1.652,1.33,2.064,-1.343,0.465,-0.862,-0.255,0.189,2.081,-1.628,-1.392,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,-0.663,-1.524,2.219,1.212,0.931,-0.179,-3.005,-1.853,-1.337,-0.279,-0.544,-1.262,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,0.931,-0.179,-3.005,-1.853,0.931,-0.179,-3.005,-1.853,-1.337,-0.279,-0.544,-1.262,-1.006,-0.59,1.891,0.412,-0.384,1.652,1.33,2.064,-0.663,-1.524,2.219,1.212,-0.591,-1.302,-0.733,-0.146,1.357,-1.453,1.477,-0.837,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-1.019,-0.987,-1.505,-0.912,-0.032,0.326,2.213,1.313,-1.006,-0.59,1.891,0.412,-0.228,1.399,-4.76,-2.647,1.538,-0.055,1.502,2.897
BGC0001662_mediomycin_AWC08666_1_other_OTHER,0.945,0.828,1.299,0.933,1.538,-0.055,1.502,2.897,0.945,0.828,1.299,0.933,-1.019,-0.987,-1.505,-0.912,0.336,-0.417,-1.673,-0.078,0.931,-0.179,-3.005,-1.853,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-0.228,1.399,-4.76,-2.647,-0.663,-1.524,2.219,1.212,-1.239,-0.547,2.131,0.816,1.05,0.302,-3.656,-3.242,-0.591,-1.302,-0.733,-0.146,-1.343,0.465,-0.862,-0.255,-0.228,1.399,-4.76,-2.647,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,-0.591,-1.302,-0.733,-0.146,-1.019,-0.987,-1.505,-0.912,1.05,0.302,-3.656,-3.242,-0.228,1.399,-4.76,-2.647,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-0.228,1.399,-4.76,-2.647,-0.032,0.326,2.213,1.313,1.357,-1.453,1.477,-0.837,-1.019,-0.987,-1.505,-0.912,-0.384,1.652,1.33,2.064,0.945,0.828,1.299,0.933,-1.239,-0.547,2.131,0.816,-0.591,-1.302,-0.733,-0.146,-1.006,-0.59,1.891,0.412,-0.591,-1.302,-0.733,-0.146
BGC0000366_gobichelin_AGE11892_1_aryl_ARYL,0.945,0.828,1.299,0.933,-0.591,-1.302,-0.733,-0.146,-0.228,1.399,-4.76,-2.647,-1.019,-0.987,-1.505,-0.912,-1.006,-0.59,1.891,0.412,0.189,2.081,-1.628,-1.392,-1.019,-0.987,-1.505,-0.912,-0.591,-1.302,-0.733,-0.146,-1.343,0.465,-0.862,-0.255,0.189,2.081,-1.628,-1.392,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,-1.019,-0.987,-1.505,-0.912,0.931,-0.179,-3.005,-1.853,-0.591,-1.302,-0.733,-0.146,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.228,1.399,-4.76,-2.647,0.931,-0.179,-3.005,-1.853,0.931,-0.179,-3.005,-1.853,-1.337,-0.279,-0.544,-1.262,-1.006,-0.59,1.891,0.412,-0.384,1.652,1.33,2.064,-0.663,-1.524,2.219,1.212,-0.591,-1.302,-0.733,-0.146,1.357,-1.453,1.477,-0.837,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-1.019,-0.987,-1.505,-0.912,0.945,0.828,1.299,0.933,0.26,0.83,3.097,1.512,-0.032,0.326,2.213,1.313,1.538,-0.055,1.502,2.897
BGC0000298_Aeruginosin_ACM68682_1_aryl_HOLDOUTTEST,1.538,-0.055,1.502,2.897,-0.384,1.652,1.33,2.064,0,0,0,0,-1.019,-0.987,-1.505,-0.912,-0.384,1.652,1.33,2.064,-0.228,1.399,-4.76,-2.647,-1.239,-0.547,2.131,0.816,-0.228,1.399,-4.76,-2.647,1.05,0.302,-3.656,-3.242,-0.595,0.009,0.672,-0.184,0.945,0.828,1.299,0.933,-1.343,0.465,-0.862,-0.255,-0.595,0.009,0.672,-0.184,-0.591,-1.302,-0.733,-0.146,-1.019,-0.987,-1.505,-0.912,-0.591,-1.302,-0.733,-0.146,-0.591,-1.302,-0.733,-0.146,-0.384,1.652,1.33,2.064,1.357,-1.453,1.477,-0.837,1.538,-0.055,1.502,2.897,0.189,2.081,-1.628,-1.392,-0.591,-1.302,-0.733,-0.146,-1.006,-0.59,1.891,0.412,-0.384,1.652,1.33,2.064,-0.663,-1.524,2.219,1.212,-0.591,-1.302,-0.733,-0.146,1.357,-1.453,1.477,-0.837,-0.663,-1.524,2.219,1.212,-0.384,1.652,1.33,2.064,-0.228,1.399,-4.76,-2.647,-0.384,1.652,1.33,2.064,-1.239,-0.547,2.131,0.816,-0.032,0.326,2.213,1.313,0.26,0.83,3.097,1.512
BGC0000369_Hassallidin_AHZ20766_1_longchain_FAAL,-1.006,-0.59,1.891,0.412,0,0,0,0,-0.663,-1.524,2.219,1.212,-1.019,-0.987,-1.505,-0.912,0.336,-0.417,-1.673,-0.078,-1.239,-0.547,2.131,0.816,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-1.239,-0.547,2.131,0.816,0.945,0.828,1.299,0.933,-0.032,0.326,2.213,1.313,0.336,-0.417,-1.673,-0.078,0.189,2.081,-1.628,-1.392,-0.032,0.326,2.213,1.313,-0.032,0.326,2.213,1.313,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-0.032,0.326,2.213,1.313,1.357,-1.453,1.477,-0.837,0.336,-0.417,-1.673,-0.078,0.931,-0.179,-3.005,-1.853,-0.032,0.326,2.213,1.313,0.26,0.83,3.097,1.512,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-0.032,0.326,2.213,1.313,1.357,-1.453,1.477,-0.837,-1.019,-0.987,-1.505,-0.912,-0.384,1.652,1.33,2.064,-1.239,-0.547,2.131,0.816,-0.663,-1.524,2.219,1.212,1.538,-0.055,1.502,2.897,-0.228,1.399,-4.76,-2.647,1.831,-0.561,0.533,1.648
BGC0000401_paenibactin_AEI70243_1_aryl_ARYL,-0.228,1.399,-4.76,-2.647,0,0,0,0,-0.663,-1.524,2.219,1.212,-1.019,-0.987,-1.505,-0.912,0.26,0.83,3.097,1.512,0.189,2.081,-1.628,-1.392,-1.019,-0.987,-1.505,-0.912,-0.228,1.399,-4.76,-2.647,-0.228,1.399,-4.76,-2.647,0.189,2.081,-1.628,-1.392,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,-1.337,-0.279,-0.544,-1.262,0.931,-0.179,-3.005,-1.853,-1.337,-0.279,-0.544,-1.262,-0.384,1.652,1.33,2.064,-0.384,1.652,1.33,2.064,-0.591,-1.302,-0.733,-0.146,0.931,-0.179,-3.005,-1.853,0.931,-0.179,-3.005,-1.853,-1.337,-0.279,-0.544,-1.262,-1.006,-0.59,1.891,0.412,-0.384,1.652,1.33,2.064,-0.663,-1.524,2.219,1.212,-0.591,-1.302,-0.733,-0.146,1.357,-1.453,1.477,-0.837,-0.384,1.652,1.33,2.064,-1.019,-0.987,-1.505,-0.912,-1.337,-0.279,-0.544,-1.262,0.945,0.828,1.299,0.933,0.26,0.83,3.097,1.512,-0.032,0.326,2.213,1.313,1.538,-0.055,1.502,2.897
