entry_name,organism,protein_names,likely_substrate,substrate_group,functional_class,bgcs,pmid,cmpnd,pdb_id,kinetics,ec_numbers
4CL1_ARATH,Arabidopsis thaliana (Mouse-ear cress),4-coumarate--CoA ligase 1 (4CL 1) (EC 6.2.1.12) (4-coumarate--CoA ligase isoform 1) (At4CL1) (4-coumaroyl-CoA synthase 1),4-coumarate; caffeate,aryl,ARYL,NA,7640359; 10417722; 11130712; 27862469; 14593172; 11576429; 12805634; 12819348; 15677481; 16738863,NA,3TSY,BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=6320 uM for cinnamate; KM=38 uM for 4-coumarate; KM=11 uM for caffeate; KM=199 uM for ferulate;,EC 6.2.1.12
Q8AAN6_BACTN,Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482),Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase),phenylacetate,aryl,ARYL,NA,12663928; 19321416;,NA,4R1L,"NA",EC 6.2.1.30
Q6NC13_RHOPA,Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009),Benzoate-CoA ligase (EC 6.2.1.25),benzoate,aryl,ARYL,NA,14704707; 26378464,NA,4RMN,"NA",EC 6.2.1.25
F3Y661_STIAU,Stigmatella aurantiaca,Anthranilate-CoA ligase,anthranilate,aryl,ARYL,NA,26473393,NA,4WV3,"NA","NA"
MENE_BACSU,Bacillus subtilis (strain 168),2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase),2-succinylbenzoate,aryl,ARYL,NA,1629163; 8566759; 9387221; 9384377,NA,5BUR,"NA",EC 6.2.1.26
MENE_ECOLI,Escherichia coli (strain K12),2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase),2-succinylbenzoate,aryl,ARYL,NA,8626063; 9205837; 9278503; 16738553,NA,5C5H,"NA",EC 6.2.1.26
PQSA_PSEAE,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Anthranilate--CoA ligase (EC 6.2.1.32),anthranilate,aryl,ARYL,NA,10984043; 18083812; 18728009,NA,5OE4,BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=3 uM for anthranilate {ECO:0000269|PubMed:18083812}; KM=22 uM for CoA {ECO:0000269|PubMed:18083812}; KM=71 uM for ATP {ECO:0000269|PubMed:18083812};,EC 6.2.1.32
4CL2_TOBAC,Nicotiana tabacum (Common tobacco),4-coumarate--CoA ligase 2 (4CL 2) (EC 6.2.1.12) (4-coumaroyl-CoA synthase 2),4-coumarate,aryl,ARYL,NA,8819324,NA,5U95,"NA",EC 6.2.1.12
4CLL1_ARATH,Arabidopsis thaliana (Mouse-ear cress),4-coumarate--CoA ligase-like 1 (EC 6.2.1.-) (4-coumarate--CoA ligase isoform 10) (At4CL10),4-coumarate,aryl,ARYL,NA,12805634; 11130712; 27862469; 12819348; 23632852,NA,"NA","NA",EC 6.2.1.-
A6L0Y5_BACV8,Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154),Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase),phenylacetate,aryl,ARYL,NA,17579514;,NA,"NA","NA",EC 6.2.1.30
MENE_ARATH,Arabidopsis thaliana (Mouse-ear cress),"2-succinylbenzoate--CoA ligase, chloroplastic/peroxisomal (EC 6.2.1.26) (Acyl-activating enzyme 14) (O-succinylbenzoyl-CoA ligase)",2-succinylbenzoate,aryl,ARYL,NA,12805634; 11130712; 27862469; 14593172; 18208520; 20150517,NA,"NA","NA",EC 6.2.1.26
MENE_MYCTU,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Probable 2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (OSB-CoA synthetase) (o-succinylbenzoyl-CoA synthetase),2-succinylbenzoate,aryl,ARYL,NA,9634230; 19099550; 21969609,NA,"NA","NA",EC 6.2.1.26
FAA22_MYCTU,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),p-hydroxybenzoic acid--AMP ligase FadD22 (p-HB--AMP ligase FadD22) (EC 6.2.1.50) (p-hydroxybenzoic acid-AMP synthetase) (p-HB-AMP synthetase),4-hydroxybenzoate,aryl,ARYL,NA,9634230; 20553505; 21969609,NA,"NA","NA",EC 6.2.1.50
A0A140DJY3_9ACTN,Streptomyces gandocaensis,Salicylate-AMP ligase,salicylate,aryl,ARYL,NA,26880271; 29742306,NA,"NA","NA","NA"
AAE20_ARATH,Arabidopsis thaliana (Mouse-ear cress),"Benzoate--CoA ligase, peroxisomal (EC 6.2.1.25) (Acyl-activating enzyme 20) (Protein BENZOYLOXYGLUCOSINOLATE 1)",benzoate,aryl,ARYL,NA,11130712; 27862469; 12805634; 17651367,NA,"NA","NA",EC 6.2.1.25
PYR1_ASPFU,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus),Nicotinic acid-CoA ligase pyr1 (EC 6.2.1.-) (Pyripyropene synthesis protein 1),nicotinic_acid,aryl,ARYL,NA,16372009; 8534106; 18997389; 19571395; 20861902; 21224862; 26019565,NA,"NA","NA",EC 6.2.1.-
FAA22_MYCMM,Mycobacterium marinum (strain ATCC BAA-535 / M),p-hydroxybenzoic acid--AMP ligase FadD22 (p-HB--AMP ligase FadD22) (EC 6.2.1.50) (p-hydroxybenzoic acid-AMP synthetase) (p-HB-AMP synthetase),4-hydroxybenzoate,aryl,ARYL,NA,18403782; 18158259,NA,"NA","NA",EC 6.2.1.50
PAAK_PSEPU,Pseudomonas putida (Arthrobacter siderocapsulatus),Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase) (PA-CoA ligase),phenylacetate,aryl,ARYL,NA,8969218; 9600981; 2324116,NA,"NA",BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=9.7 mM for ATP (at 30 degrees Celsius and pH 8.2) {ECO:0000269|PubMed:2324116}; KM=1 mM for CoA (at 30 degrees Celsius and pH 8.2) {ECO:0000269|PubMed:2324116}; KM=16.5 mM for PA (at 30 degrees Celsius and pH 8.2) {ECO:0000269|PubMed:2324116};,EC 6.2.1.30
4CL2_ARATH,Arabidopsis thaliana (Mouse-ear cress),4-coumarate--CoA ligase 2 (4CL 2) (EC 6.2.1.12) (4-coumarate--CoA ligase isoform 2) (At4CL2) (4-coumaroyl-CoA synthase 2),caffeate; 4-coumarate; cinnamate,aryl,ARYL,NA,10417722; 10819329; 27862469; 14593172; 10664468; 11323416; 11576429; 12805634; 12819348; 16738863; 22223895,NA,"NA",BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=6630 uM for cinnamate; KM=252 uM for 4-coumarate; KM=20 uM for caffeate;,EC 6.2.1.12
4CL3_ARATH,Arabidopsis thaliana (Mouse-ear cress),4-coumarate--CoA ligase 3 (4CL 3) (EC 6.2.1.12) (4-coumarate--CoA ligase isoform 3) (At4CL3) (4-coumaroyl-CoA synthase 3),4-coumarate; ferulate; caffeate; cinnamate,aryl,ARYL,NA,10417722; 11130712; 27862469; 14593172; 12805634; 12819348; 23473981,NA,"NA",BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=2070 uM for cinnamate; KM=23 uM for 4-coumarate; KM=374 uM for caffeate; KM=166 uM for ferulate;,EC 6.2.1.12
4CL4_ARATH,Arabidopsis thaliana (Mouse-ear cress),4-coumarate--CoA ligase 4 (4CL 4) (EC 6.2.1.12) (4-coumarate--CoA ligase isoform 5) (At4CL5) (4-coumaroyl-CoA synthase 4),4-coumarate; ferulate; sinapate; caffeate,aryl,ARYL,NA,12805634; 10819329; 27862469; 14593172; 14769935; 12819348; 16738863,NA,"NA",BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=432 uM for 4-coumarate; KM=186 uM for caffeate; KM=26 uM for ferulate; KM=20 uM for sinapate; Vmax=100 nmol/sec/mg enzyme with 4-coumarate as substrate; Vmax=187 nmol/sec/mg enzyme with caffeate as substrate; Vmax=153 nmol/sec/mg enzyme with ferulate as substrate; Vmax=105 nmol/sec/mg enzyme with sinapate as substrate;,EC 6.2.1.12
CBACL_PSEUC,Pseudomonas sp. (strain CBS-3),4-chlorobenzoate--CoA ligase (4-CBA:CoA ligase) (EC 6.2.1.33),4-chlorobenzoate; benzoate; 4-bromobenzoate; 4-iodobenzoate; 4-methylbenzoate,aryl,ARYL,NA,1351742; 1418673; 1610806; 9398293,NA,"NA","BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=8.5 uM for 4-chlorobenzoate {ECO:0000269|PubMed:1418673, ECO:0000269|PubMed:1610806, ECO:0000269|PubMed:9398293}; KM=70 uM for CoA {ECO:0000269|PubMed:1418673, ECO:0000269|PubMed:1610806, ECO:0000269|PubMed:9398293}; KM=104 uM for ATP (with magnesium as cofactor) {ECO:0000269|PubMed:1418673, ECO:0000269|PubMed:1610806, ECO:0000269|PubMed:9398293}; KM=43 uM for ATP (with manganese as cofactor) {ECO:0000269|PubMed:1418673, ECO:0000269|PubMed:1610806, ECO:0000269|PubMed:9398293}; KM=59 uM for ATP (with cobalt as cofactor) {ECO:0000269|PubMed:1418673, ECO:0000269|PubMed:1610806, ECO:0000269|PubMed:9398293}; KM=15 uM for 4-bromobenzoate {ECO:0000269|PubMed:1418673, ECO:0000269|PubMed:1610806, ECO:0000269|PubMed:9398293}; KM=17 uM for 4-iodobenzoate {ECO:0000269|PubMed:1418673, ECO:0000269|PubMed:1610806, ECO:0000269|PubMed:9398293}; KM=700 uM for benzoate {ECO:0000269|PubMed:1418673, ECO:0000269|PubMed:1610806, ECO:0000269|PubMed:9398293}; KM=130 uM for 4-methylbenzoate {ECO:0000269|PubMed:1418673, ECO:0000269|PubMed:1610806, ECO:0000269|PubMed:9398293};",EC 6.2.1.33
PAAK_ECOLI,Escherichia coli (strain K12),Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase) (PA-CoA ligase),phenylacetate,aryl,ARYL,NA,9748275; 9278503; 16738553; 10766858; 20660314,NA,"NA","NA",EC 6.2.1.30
PAAK_THET2,Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039),Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase) (PA-CoA ligase),phenylacetate,aryl,ARYL,NA,15064768; 18414813,NA,"NA",BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=6 uM for ATP (at 50 degrees Celsius and pH 7.5) {ECO:0000269|PubMed:18414813}; KM=30 uM for CoA (at 50 degrees Celsius and pH 7.5) {ECO:0000269|PubMed:18414813}; KM=50 uM for PA (at 50 degrees Celsius and pH 7.5) {ECO:0000269|PubMed:18414813};,EC 6.2.1.30
PAAK_AZOEV,Azoarcus evansii,Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase) (PA-CoA ligase),phenylacetate,aryl,ARYL,NA,10629172; 12172805; 12189419,NA,"NA","BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=14 uM for PA (aerobically at 37 degrees Celsius) {ECO:0000269|PubMed:10629172, ECO:0000269|PubMed:12189419}; KM=45 uM for CoA (aerobically at 37 degrees Celsius) {ECO:0000269|PubMed:10629172, ECO:0000269|PubMed:12189419}; KM=60 uM for ATP (aerobically at 37 degrees Celsius) {ECO:0000269|PubMed:10629172, ECO:0000269|PubMed:12189419};",EC 6.2.1.30
BCLA_THAAR,Thauera aromatica,Benzoate--CoA ligase (EC 6.2.1.25) (Benzoyl-CoA synthetase),benzoate,aryl,ARYL,NA,12897012,NA,"NA",BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=25 uM for benzoate {ECO:0000269|PubMed:12897012}; KM=150 uM for 2-aminobenzoate {ECO:0000269|PubMed:12897012}; KM=370 uM for ATP {ECO:0000269|PubMed:12897012}; KM=160 uM for CoA {ECO:0000269|PubMed:12897012}; Vmax=16.5 umol/min/mg enzyme with benzoate as substrate {ECO:0000269|PubMed:12897012}; Vmax=9.9 umol/min/mg enzyme with 2-aminobenzoate as substrate {ECO:0000269|PubMed:12897012};,EC 6.2.1.25
CBCL1_ARTSP,Arthrobacter sp.,4-chlorobenzoate--CoA ligase (4-CBA:CoA ligase) (EC 6.2.1.33),4-chlorobenzoate,aryl,ARYL,NA,11371537; 15068371,NA,"NA",BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=3.5 uM for 4-chlorobenzoate {ECO:0000269|PubMed:15068371}; KM=30 uM for CoA {ECO:0000269|PubMed:15068371}; KM=238 uM for ATP {ECO:0000269|PubMed:15068371};,EC 6.2.1.33
4HBCL_RHOPA,Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009),4-hydroxybenzoate--CoA/benzoate--CoA ligase (EC 6.2.1.25) (EC 6.2.1.27) (4-hydroxybenzoyl-CoA synthetase),4-hydroxybenzoate,aryl,ARYL,NA,8300518; 14704707,NA,"NA",BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=400 uM for benzoate {ECO:0000269|PubMed:8300518}; KM=120 uM for 4-hydroxybenzoate {ECO:0000269|PubMed:8300518}; KM=90 uM for ATP {ECO:0000269|PubMed:8300518}; KM=400 uM for CoA {ECO:0000269|PubMed:8300518};,"c(""EC 6.2.1.25"", ""EC 6.2.1.27"""
3HBCL_THAAR,Thauera aromatica,3-hydroxybenzoate--CoA/4-hydroxybenzoate--CoA ligase (EC 6.2.1.27) (EC 6.2.1.37) (3-hydroxybenzoyl-CoA synthetase),3-hydroxybenzoate,aryl,ARYL,NA,11208796,NA,"NA",BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=60 uM for 3-hydroxybenzoate {ECO:0000269|PubMed:11208796}; KM=65 uM for 4-hydroxybenzoate {ECO:0000269|PubMed:11208796}; Vmax=4.1 umol/min/mg enzyme with 3-hydroxybenzoate as substrate {ECO:0000269|PubMed:11208796}; Vmax=3.4 umol/min/mg enzyme with 4-hydroxybenzoate as substrate {ECO:0000269|PubMed:11208796};,"c(""EC 6.2.1.27"", ""EC 6.2.1.37"""
HBCL1_METS5,Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2),4-hydroxybutyrate--CoA ligase 1 (EC 6.2.1.40) (Acetate--CoA ligase) (EC 6.2.1.1) (Butyrate--CoA ligase) (EC 6.2.1.2) (Propionate--CoA ligase) (EC 6.2.1.17),4-hydroxybutyrate,aryl,ARYL,NA,18083856; 23258541,NA,"NA",BIOPHYSICOCHEMICAL PROPERTIES: ;  Kinetic parameters: KM=320 uM for butyrate {ECO:0000269|PubMed:23258541}; KM=380 uM for propionate {ECO:0000269|PubMed:23258541}; KM=740 uM for valerate {ECO:0000269|PubMed:23258541}; KM=810 uM for 3HB {ECO:0000269|PubMed:23258541}; KM=2000 uM for 4HB {ECO:0000269|PubMed:23258541}; KM=2030 uM for acetate {ECO:0000269|PubMed:23258541}; Vmax=15.1 umol/min/mg enzyme with propionate as substrate {ECO:0000269|PubMed:23258541}; Vmax=7.9 umol/min/mg enzyme with butyrate as substrate {ECO:0000269|PubMed:23258541}; Vmax=6 umol/min/mg enzyme with acetate as substrate {ECO:0000269|PubMed:23258541}; Vmax=5.2 umol/min/mg enzyme with valerate as substrate {ECO:0000269|PubMed:23258541}; Vmax=2.4 umol/min/mg enzyme with 3HB as substrate {ECO:0000269|PubMed:23258541}; Vmax=1.7 umol/min/mg enzyme with 4HB as substrate {ECO:0000269|PubMed:23258541}; Note=Kcat is 16.2 sec(-1) for ligase activity with propionate as substrate. Kcat is 8.4 sec(-1) for ligase activity with butyrate as substrate. Kcat is 6.4 sec(-1) for ligase activity with acetate as substrate. Kcat is 5.6 sec(-1) for ligase activity with valerate as substrate. Kcat is 2.6 sec(-1) for ligase activity with 3HB as substrate. Kcat is 1.8 sec(-1) for ligase activity with 4HB as substrate. {ECO:0000269|PubMed:23258541};,"c(""EC 6.2.1.40"", ""EC 6.2.1.1"", ""EC 6.2.1.2"", ""EC 6.2.1.17"""
MBTA_MYCTU,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Salicyl-AMP ligase / salicyl-S-ArCP synthetase (EC 6.2.1.-) (Mycobactin biosynthesis protein MbtA) (Salicyl-AMP ligase) (Sal-AMP ligase) (EC 2.7.7.-) (Salicyl-S-ArCP synthetase),salicylate,aryl,ARYL,NA,9634230; 9831524; 11722747; 16407990; 17181146; 17967002; 21969609,NA,"NA",BIOPHYSICOCHEMICAL PROPERTIES: ;  Kinetic parameters: KM=9 uM for salicylic acid {ECO:0000269|PubMed:9831524}; KM=3.3 uM for salicylic acid {ECO:0000269|PubMed:17181146}; KM=184 uM for ATP {ECO:0000269|PubMed:17181146}; Note=kcat is 42.7 min(-1) for the adenylation reaction. {ECO:0000269|PubMed:9831524};,"c(""EC 6.2.1.-"", ""EC 2.7.7.-"""
NCSB2_STRCZ,Streptomyces carzinostaticus,2-hydroxy-7-methoxy-5-methyl-1-naphthoate--CoA ligase (EC 6.2.1.43) (Neocarzinostatin biosynthesis protein B2),2-hydroxy-7-methoxy-5-methyl-1-naphthoate,aryl,ARYL,NA,15797213; 17539640,NA,"NA","BIOPHYSICOCHEMICAL PROPERTIES: ;  Kinetic parameters: KM=0.59 uM for 2-hydroxy-7-methoxy-5-methyl-1-naphthoate {ECO:0000269|PubMed:17539640}; KM=0.25 uM for 2-hydroxy-5-methyl-1-naphthoate {ECO:0000269|PubMed:17539640}; KM=3.1 uM for 2,7-dihydroxy-5-methyl-1-naphthoate {ECO:0000269|PubMed:17539640}; Note=kcat is 38 min(-1) with 2-hydroxy-7-methoxy-5-methyl-1-naphthoate as substrate. kcat is 8.1 min(-1) with 2-hydroxy-5-methyl-1-naphthoate as substrate. kcat is 93 min(-1) with 2,7-dihydroxy-5-methyl-1-naphthoate as substrate. {ECO:0000269|PubMed:17539640};",EC 6.2.1.43
A0A1I9LR43_ARATH,Arabidopsis thaliana (Mouse-ear cress),4-coumarate:CoA ligase 2,4-coumarate,aryl,ARYL,NA,11130713; 22223895; 27862469,NA,"NA","NA","NA"
"NA",Streptomyces virginiae,KOG46787.1 hypothetical protein ADK75_25805 [Streptomyces virginiae],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Streptomyces aburaviensis,AGY62760.1 Orf1 [Streptomyces aburaviensis],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Shewanella oneidensis MR-1,NP_717354.1 polyolefin biosynthetic pathway AMP transfer protein  [Shewanella oneidensis MR-1],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Colwellia psychrerythraea 34H,YP_268880.1 peptide synthase [Colwellia psychrerythraea 34H],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Shewanella denitrificans OS217,YP_562380.1 peptide synthase [Shewanella denitrificans OS217],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Shewanella amazonensis SB2B,YP_927061.1 peptide synthase [Shewanella amazonensis SB2B],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Arthrobacter aurescens TC1,YP_947744.1 hydrolase [Arthrobacter aurescens TC1],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Shewanella baltica OS155,YP_001049935.1 peptide synthase [Shewanella baltica OS155],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Planctomyces maris DSM 8797,ZP_01857291.1 peptide synthase [Planctomyces maris DSM 8797],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Chloroflexus aurantiacus J-10-fl,YP_001637104.1 peptide synthase [Chloroflexus aurantiacus J-10-fl],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Kocuria rhizophila DC2201,YP_001854904.1 putative fatty-acid--CoA ligase [Kocuria rhizophila DC2201],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Geobacter bemidjiensis Bem,YP_002138909.1 peptide synthase [Geobacter bemidjiensis Bem],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Stenotrophomonas maltophilia sequence 6 from patent US 8110093,AFC01244.1 Sequence 6 from patent US 8110093[Stenotrophomonas maltophilia sequence 6 from patent US 8110093],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
"NA",Micrococcus luteus,WP_010078536.1 alpha/beta fold hydrolase [Micrococcus luteus],median_beta_hydroxy_acid_long,median_beta_hydroxy_acid_long,BLS,NA,"NA",NA,"NA","NA",EC 6.1.3.1
